户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
1室1厅,低楼层/共21层,60.93平米,平层/其他,280.0,中信悦海苑,亦庄开发区,房屋朝向,配备电梯,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",45955
2室2厅,低楼层/共11层,115.21平米,平层/精装,636.0,一品亦庄,亦庄开发区,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",55204
2室1厅,高楼层/共22层,74.29平米,平层/简装,240.0,南海雅苑北区,亦庄开发区,房屋朝向,配备电梯,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",32306
2室1厅,底层/共22层,74.09平米,平层/简装,225.0,南海雅苑北区,亦庄开发区,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",30369
2室1厅,中楼层/共6层,60.49平米,平层/简装,360.0,泰河园三里,亦庄开发区,房屋朝向,,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",59514
3室2厅,中楼层/共5层,130.05平米,平层/简装,780.0,郁金香舍,亦庄开发区,房屋朝向,,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",59977
2室1厅,中楼层/共6层,78.48平米,平层/精装,440.0,泰河园三里,亦庄开发区,房屋朝向,,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",56066
1室0厅,中楼层/共14层,53.26平米,平层/精装,338.0,通泰国际公馆,亦庄开发区,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",63463
2室1厅,底层/共8层,78.75平米,平层/简装,470.0,听涛雅苑,亦庄开发区,房屋朝向,配备电梯,"2023年12月19日
                                                                            ","普通住宅
                                                                            ",59683
3室2厅,高楼层/共11层,82.98平米,平层/精装,540.0,北京经开壹中心,亦庄开发区,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",65076
1室1厅,中楼层/共11层,44.48平米,平层/简装,315.0,北京经开壹中心,亦庄开发区,房屋朝向,配备电梯,"2023年12月19日
                                                                            ","普通住宅
                                                                            ",70819
3室1厅,中楼层/共18层,89.33平米,平层/其他,585.0,中信新城东区,亦庄开发区,房屋朝向,配备电梯,"2023年12月19日
                                                                            ","普通住宅
                                                                            ",65488
3室1厅,高楼层/共11层,89.71平米,平层/精装,620.0,通泰国际公馆,亦庄开发区,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",69112
2室1厅,中楼层/共11层,100.66平米,平层/其他,480.0,定海园二里,亦庄开发区,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",47686
1室1厅,高楼层/共6层,59.88平米,平层/精装,319.0,贵园南里丙区,亦庄开发区,房屋朝向,,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",53274
2室1厅,高楼层/共6层,59.99平米,平层/毛坯,330.0,贵园南里丁区,亦庄开发区,房屋朝向,,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",55010
1室0厅,高楼层/共9层,60.25平米,平层/简装,425.0,上海沙龙,亦庄开发区,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",70540
1室0厅,中楼层/共9层,55.74平米,平层/其他,420.0,上海沙龙,亦庄开发区,房屋朝向,配备电梯,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",75350
2室1厅,中楼层/共6层,74.14平米,平层/简装,410.0,贵园南里乙区,亦庄开发区,房屋朝向,,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",55301
1室1厅,中楼层/共22层,60.83平米,平层/简装,210.0,南海雅苑北区,亦庄开发区,房屋朝向,配备电梯,"2023年12月16日
                                                                            ","普通住宅
                                                                            ",34523
2室1厅,高楼层/共6层,94.43平米,平层/精装,500.0,富源里,亦庄开发区,房屋朝向,,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",52950
