户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
1室1厅,中楼层/共24层,67.01,平层/精装,380,玺萌鹏苑,丰台,配备电梯,2023年11月25日,普通住宅,56708
2室1厅,底层/共6层,60.6,平层/精装,366,前泥洼小区,丰台,无,2023年11月25日,普通住宅,60397
2室1厅,顶层/共6层,56.47,平层/精装,300,金家村1号院,丰台,无,2023年11月25日,普通住宅,53126
2室1厅,低楼层/共13层,92.91,平层/简装,530,鸿业兴园一区,丰台,配备电梯,2023年11月25日,普通住宅,57045
2室1厅,低楼层/共21层,68.84,平层/简装,399,瑞丽江畔,丰台,配备电梯,2023年12月10日,普通住宅,57961
1室1厅,中楼层/共12层,66.44,平层/精装,376,方泽园,丰台,配备电梯,2023年11月25日,普通住宅,56593
2室1厅,中楼层/共18层,67.17,平层/简装,390,太平桥西里,丰台,配备电梯,2023年12月20日,普通住宅,58062
2室1厅,高楼层/共6层,62.09,平层/精装,313,蔚园,丰台,无,2023年11月24日,普通住宅,50411
2室1厅,低楼层/共16层,59.31,平层/简装,250,南庭新苑南区,丰台,配备电梯,2023年11月25日,普通住宅,42152
3室2厅,中楼层/共11层,165.68,平层/精装,1500,风荷曲苑,丰台,配备电梯,2023年11月23日,普通住宅,90536
1室1厅,中楼层/共30层,70.11,平层/精装,419,怡海花园富泽园,丰台,配备电梯,2023年12月08日,普通住宅,59764
2室1厅,中楼层/共6层,72.51,平层/简装,535,开阳里二区,丰台,无,2023年11月23日,普通住宅,73783
1室1厅,中楼层/共15层,43.6,暂无数据/简装,199,马公庄,丰台,配备电梯,2023年11月23日,普通住宅,45643
3室2厅,低楼层/共15层,156.11,平层/精装,1160,万科紫苑,丰台,配备电梯,2023年11月24日,普通住宅,74307
2室1厅,中楼层/共6层,59.84,平层/简装,227,和义东里五区,丰台,无,2023年12月15日,普通住宅,37935
2室1厅,顶层/共14层,61,平层/其他,412,开阳里一街,丰台,配备电梯,2023年11月26日,普通住宅,67541
3室2厅,低楼层/共23层,121.28,平层/精装,730,民岳家园,丰台,配备电梯,2023年11月23日,普通住宅,60192
1室1厅,中楼层/共15层,52.99,平层/简装,245,公园懿府,丰台,配备电梯,2023年11月22日,普通住宅,46236
2室1厅,低楼层/共27层,88.35,平层/精装,635,万年花城四期,丰台,配备电梯,2023年11月22日,普通住宅,71874
3室1厅,中楼层/共25层,100.5,平层/简装,610,芳群园二区,丰台,配备电梯,2023年11月22日,普通住宅,60697
2室1厅,低楼层/共16层,62.55,平层/精装,366,左右坊,丰台,配备电梯,2023年11月22日,普通住宅,58514
2室1厅,高楼层/共14层,82.58,平层/精装,446,银地家园,丰台,配备电梯,2023年11月22日,普通住宅,54009
2室1厅,顶层/共14层,75.48,平层/简装,330,青塔西里6号院,丰台,配备电梯,2023年11月25日,普通住宅,43721
3室1厅,中楼层/共6层,76.57,平层/其他,365,和义西里二区,丰台,无,2023年11月22日,普通住宅,47669
1室1厅,顶层/共28层,59.65,平层/精装,335,万泉盛景园,丰台,配备电梯,2023年11月26日,普通住宅,56161
2室1厅,低楼层/共6层,56.72,平层/简装,148,东山坡一里,丰台,无,2023年11月21日,普通住宅,26094
1室1厅,高楼层/共20层,62.42,平层/精装,470,星河城西区,丰台,配备电梯,2023年12月03日,普通住宅,75297
2室2厅,中楼层/共22层,88.31,平层/精装,469,顶秀欣园西苑,丰台,配备电梯,2023年11月22日,普通住宅,53109
3室1厅,低楼层/共6层,59.3,平层/简装,238,三角地,丰台,无,2023年12月14日,普通住宅,40135
2室1厅,高楼层/共17层,77.24,平层/精装,380,南三环中路71号院,丰台,配备电梯,2023年11月20日,普通住宅,49198
2室1厅,高楼层/共6层,69.2,平层/简装,310,南顶村邮政小区,丰台,无,2023年11月20日,普通住宅,44798
1室0厅,低楼层/共15层,49.54,平层/简装,188,南庭新苑南区,丰台,配备电梯,2023年11月23日,普通住宅,37950
1室1厅,中楼层/共18层,58.35,平层/精装,390,星河城东区,丰台,配备电梯,2023年11月20日,普通住宅,66839
1室1厅,低楼层/共6层,65.13,平层/精装,212,燕西华府,丰台,无,2023年11月20日,普通住宅,32551
2室1厅,低楼层/共16层,97.97,平层/简装,530,彩虹城四区,丰台,配备电梯,2023年11月19日,普通住宅,54099
2室1厅,中楼层/共6层,50.7,平层/简装,259,横一条,丰台,无,2023年11月23日,普通住宅,51085
1室1厅,低楼层/共6层,39.4,平层/简装,128,张郭庄小区,丰台,无,2023年11月19日,普通住宅,32488
3室1厅,顶层/共6层,68.15,平层/精装,338,蒲黄榆二里,丰台,无,2023年11月19日,普通住宅,49597
2室1厅,中楼层/共12层,87.86,平层/精装,586,长安新城,丰台,配备电梯,2023年11月26日,普通住宅,66698
2室1厅,底层/共28层,81.31,平层/精装,449,首开华润花香四季,丰台,配备电梯,2023年11月20日,普通住宅,55221
2室1厅,中楼层/共25层,81.36,平层/精装,505,紫芳园一区,丰台,配备电梯,2023年11月19日,普通住宅,62070
3室1厅,低楼层/共13层,138.06,平层/精装,848,天鸿美域,丰台,配备电梯,2023年11月18日,普通住宅,61423
1室1厅,高楼层/共15层,50.58,平层/简装,335,三环新城8号院,丰台,配备电梯,2023年11月20日,普通住宅,66232
2室1厅,中楼层/共27层,78.47,平层/精装,638,丽泽景园,丰台,配备电梯,2023年11月20日,普通住宅,81305
2室1厅,中楼层/共6层,69.59,平层/精装,439,富卓苑,丰台,无,2023年11月18日,普通住宅,63084
2室1厅,中楼层/共6层,75,平层/简装,388,角门7号院,丰台,无,2023年11月18日,普通住宅,51734
2室1厅,低楼层/共24层,95,平层/精装,560,芳城园一区,丰台,配备电梯,2023年11月25日,普通住宅,58948
1室1厅,中楼层/共22层,56.82,平层/精装,326,彩虹城四区,丰台,配备电梯,2023年11月19日,普通住宅,57375
2室1厅,高楼层/共6层,61.82,平层/精装,275,西罗园四区,丰台,无,2023年11月20日,普通住宅,44484
2室1厅,高楼层/共15层,90,平层/精装,805,万年花城五期,丰台,配备电梯,2023年11月19日,普通住宅,89445
2室1厅,中楼层/共6层,89.84,平层/简装,450,宜兰园,丰台,无,2023年11月18日,普通住宅,50090
2室1厅,顶层/共5层,63.15,平层/简装,260,西罗园四区,丰台,无,2023年11月17日,普通住宅,41172
3室1厅,中楼层/共6层,59.98,平层/毛坯,288,司达小区,丰台,无,2023年11月20日,普通住宅,48017
2室1厅,底层/共6层,53.2,平层/毛坯,286,洋桥西里,丰台,无,2023年11月23日,普通住宅,53760
3室1厅,中楼层/共19层,176.46,平层/简装,659,芳城园一区,丰台,配备电梯,2023年11月17日,普通住宅,37346
2室1厅,低楼层/共6层,59.56,平层/简装,360,邮局宿舍,丰台,无,2023年11月18日,普通住宅,60444
2室1厅,中楼层/共25层,82.23,平层/简装,565,芳群园二区,丰台,配备电梯,2023年11月17日,普通住宅,68710
2室1厅,低楼层/共6层,60.5,平层/精装,375,北大地二里,丰台,无,2023年11月17日,普通住宅,61984
2室1厅,高楼层/共15层,80.46,平层/精装,485,政怡家园,丰台,配备电梯,2023年11月18日,普通住宅,60279
2室2厅,中楼层/共27层,76.09,平层/简装,565,西局玉园,丰台,配备电梯,2023年11月17日,普通住宅,74255
